symbol,company_name,industry,segment,segment_score,annualized_return_percent,volatility_percent,risk_adjusted_return,liquidity_score,average_delivery_percent,max_drawdown_percent,downside_volatility_percent,historical_var_95_percent,historical_cvar_95_percent,risk_bucket,stable_score,growth_risk_score,liquid_trading_score,weak_score,defensive_score,segment_rationale
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,Defensive / Low Volatility,97.9591836734694,7.154231906278818,18.93858728859118,0.3777595338691714,6.122448979591837,66.20740555951532,-35.94915804407718,11.399830210159752,1.9931693972435292,2.439967446473838,Low,78.12244897959184,20.61224489795918,5.76530612244898,27.244897959183675,97.9591836734694,Volatility (18.94%) and downside risk (11.40%) sit toward the safer end of the universe.
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,Defensive / Low Volatility,95.51020408163265,0.8933395976966851,19.76527278546852,0.04519743326555405,6.122448979591837,64.45236864053378,-63.313260775486015,12.206717075524171,2.111336578947964,2.570766077398706,Low,56.3265306122449,12.653061224489793,5.561224489795919,53.57142857142857,95.51020408163265,Volatility (19.77%) and downside risk (12.21%) sit toward the safer end of the universe.
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,Defensive / Low Volatility,93.06122448979593,14.571576900802974,20.323703565153664,0.7169744851911197,18.367346938775512,62.55723785699395,-42.08817952994007,12.338425253538347,2.1190346149041055,2.6028903977304507,Low,92.0,34.6938775510204,16.3265306122449,8.061224489795922,93.06122448979593,Volatility (20.32%) and downside risk (12.34%) sit toward the safer end of the universe.
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,Defensive / Low Volatility,89.79591836734693,-4.1015063229551725,21.18224859529522,-0.1936294111790453,56.12244897959184,59.190348317951766,-55.02380601854367,13.01920239416324,2.25563909774436,2.7812415570892,Low,43.183673469387756,7.448979591836735,54.183673469387756,67.34693877551021,89.79591836734693,Volatility (21.18%) and downside risk (13.02%) sit toward the safer end of the universe.
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,Defensive / Low Volatility,88.57142857142858,10.51212640581658,21.95750709564712,0.478748628431527,66.3265306122449,59.500258494892634,-44.984776445483185,13.250332383960362,2.292277416677815,2.832573857322508,Low,81.46938775510205,30.918367346938776,69.74489795918366,19.795918367346943,88.57142857142858,Volatility (21.96%) and downside risk (13.25%) sit toward the safer end of the universe.
NTPC,NTPC Ltd.,ENERGY,Defensive / Low Volatility,83.87755102040816,-2.5984612891308823,22.68652834180446,-0.11453763440493882,65.3061224489796,58.7852862035225,-70.4158083050032,13.51419900157489,2.3983942104095863,2.9217092249981067,Low,41.55102040816326,14.591836734693878,65.25510204081633,69.28571428571428,83.87755102040816,Volatility (22.69%) and downside risk (13.51%) sit toward the safer end of the universe.
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,Defensive / Low Volatility,79.38775510204081,-0.6910915491069702,23.356696317014055,-0.02958858306530057,55.10204081632653,60.31712794823627,-75.21598657565119,14.423294716129073,2.4091993923759736,3.0970687422514094,Low,44.6530612244898,22.448979591836732,53.57142857142857,65.71428571428571,79.38775510204081,Volatility (23.36%) and downside risk (14.42%) sit toward the safer end of the universe.
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,Defensive / Low Volatility,72.65306122448979,10.572792914585062,25.576136892518882,0.4133850612004522,15.306122448979593,60.19182367149758,-67.85556585920452,15.554644466200152,2.6542671703962,3.2983033168479716,Medium,71.59183673469389,44.795918367346935,14.081632653061224,31.938775510204078,72.65306122448979,Volatility (25.58%) and downside risk (15.55%) sit toward the safer end of the universe.
CIPLA,Cipla Ltd.,PHARMA,Defensive / Low Volatility,70.81632653061224,-1.2988406015965404,23.383023154787175,-0.05554630780625261,29.591836734693878,50.92087854757929,-57.9919764323954,14.391727260912099,2.478662130368028,3.082410532989268,Low,42.285714285714285,22.653061224489797,27.959183673469386,61.12244897959184,70.81632653061224,Volatility (23.38%) and downside risk (14.39%) sit toward the safer end of the universe.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,Defensive / Low Volatility,70.61224489795919,10.325664913778109,25.8905600681051,0.39881968125125355,59.183673469387756,55.624282126412716,-57.03041560280195,15.508625780152169,2.62628031165193,3.314371512482429,Low,69.79591836734694,42.755102040816325,59.38775510204081,29.897959183673475,70.61224489795919,Volatility (25.89%) and downside risk (15.51%) sit toward the safer end of the universe.
