period,start_date,end_date,trading_days,cumulative_return_percent,annualized_return_percent,volatility_percent,average_daily_return,max_drawdown_percent,risk_adjusted_return,average_volume,average_turnover_cr,average_delivery_percent,average_vwap_gap
Pre-COVID Baseline,2019-01-01,2020-02-14,279,-3.3631549542441186,-3.0426935510063924,12.470985799108826,-0.009183946175079333,-15.250576805631088,-0.2439817990349907,321068112.8422939,17196.869766357853,41.19828103284325,-0.6809618901323983
Crash Phase,2020-02-17,2020-03-31,30,-17.24628462988207,-79.6101039938556,24.824958901109234,-0.6171301013587829,-19.49776070541559,-3.20685743372161,660916069.7666667,26892.551386239,42.028408163265304,-2.8544625850339926
Recovery Phase,2020-04-01,2020-12-31,188,37.421102844113776,53.12649497442885,15.68759659220132,0.1740931003448103,-9.107707315213387,3.386528628664464,665881098.3989362,33384.83166273178,30.242471775944423,-0.7866858445505861
