symbol,company_name,industry,annualized_return_percent,volatility_percent,max_drawdown_percent,downside_volatility_percent,historical_var_95_percent,historical_cvar_95_percent,risk_adjusted_return,liquidity_score,risk_score,risk_bucket
VEDL,Vedanta Ltd.,METALS,1.0315517595464563,40.16777474183403,-92.42088633811453,24.221126759091256,4.174634323880342,5.211507825501113,0.02568107808252851,68.36734693877551,98.9795918367347,High
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,-3.7042292209774508,37.34638360679924,-86.13007087237101,23.106106742038,3.833523814000775,4.941627316544167,-0.09918575410078159,67.34693877551021,94.38775510204081,High
HINDALCO,Hindalco Industries Ltd.,METALS,6.620496489148331,34.713139691177126,-88.02525096689884,21.396650861937914,3.601807798138437,4.559482083517481,0.19072018688159836,66.3265306122449,91.83673469387755,High
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,3.6185804277761413,35.677366338894046,-85.20395507462747,21.570917474090344,3.688060740632922,4.639037843423955,0.10142509941467594,94.89795918367346,91.32653061224491,High
TATASTEEL,Tata Steel Ltd.,METALS,10.878517754323758,34.274734239892,-84.87644796121413,21.03603440483391,3.6202594257786824,4.4626352365563315,0.3173917462987172,86.73469387755102,87.24489795918367,High
JSWSTEEL,JSW Steel Ltd.,METALS,8.912829154396196,34.77862169834766,-75.61295125674717,21.254610782716938,3.6903969391073015,4.548990607957528,0.25627321380650475,57.142857142857146,86.73469387755102,High
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,-4.577160178505235,33.17797333863167,-86.90292263318501,20.668530264599678,3.4588030572152864,4.433382135926155,-0.13795779904300828,55.102040816326536,86.73469387755102,High
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,8.013288030774213,32.84078830214027,-82.1511355795685,20.046602172005827,3.4432236877236053,4.232302992452028,0.24400413160155413,64.28571428571428,81.12244897959185,High
TITAN,Titan Company Ltd.,CONSUMER GOODS,-0.6338699963439831,31.079247891261648,-95.18793019551535,19.03472190916049,3.3493294364437673,4.06414024933766,-0.020395281075067596,24.48979591836735,81.12244897959184,High
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,-2.098120293108907,31.869645468922926,-85.50793595411498,19.438234429106643,3.370220722339136,4.20280326756177,-0.0658344409621641,94.89795918367346,80.10204081632654,High
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,-0.14104511169366063,32.99807179794897,-73.01605298285956,20.416581212761827,3.5123515356237998,4.358538552755346,-0.0042743440452307725,79.59183673469389,79.08163265306122,High
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,-3.8784339722373606,30.0497742494724,-94.10107553892703,18.468247577481893,3.211607095538268,3.9344242536557306,-0.1290669919859866,9.183673469387754,77.55102040816327,High
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,6.038737655581539,32.313364036486576,-75.37151620068398,19.591036652057543,3.3677665367519074,4.186152799451977,0.18688050085911542,31.632653061224488,76.0204081632653,High
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,-2.3930475831278053,30.34425818103785,-87.70439036874514,17.997843604968054,3.1169443199750355,3.907563523248667,-0.07886327518209763,76.53061224489795,72.44897959183673,High
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,5.8782268329399034,29.036093737819346,-87.42117584750562,18.433311847710307,3.1240546597486802,3.9090075774434365,0.20244551095671476,47.95918367346939,70.40816326530613,High
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,14.051256320511229,29.415610985556068,-89.79336077582474,17.98526536302466,3.0798001888761974,3.853993884208224,0.4776802469753496,47.95918367346939,69.38775510204081,High
